town_city,year,Statistic,Value
Isle La Motte,2014,highest_flr_vote_count,NA
Isle La Motte,2014,Floor Vote Turnout (%),NA
Isle La Motte,2014,ab_towns_num_voted,165
Isle La Motte,2014,Australian ballot Turnout (%),0.429
Isle La Motte,2014,ab_towns_absentee_votes,27
Isle La Motte,2014,Absentee ballot Turnout (%),0.164
Jamaica,2014,tm_checklist_voters,631
Jamaica,2014,highest_flr_vote_count,70
Jamaica,2014,Floor Vote Turnout (%),0.111
Jamaica,2014,ab_towns_num_voted,NA
Jamaica,2014,Australian ballot Turnout (%),NA
Jamaica,2014,ab_towns_absentee_votes,NA
Jamaica,2014,Absentee ballot Turnout (%),NA
Jay,2014,tm_checklist_voters,316
Jay,2014,highest_flr_vote_count,50
Jay,2014,Floor Vote Turnout (%),0.158
Jay,2014,ab_towns_num_voted,56
Jay,2014,Australian ballot Turnout (%),0.177
Jay,2014,ab_towns_absentee_votes,4
Jay,2014,Absentee ballot Turnout (%),0.071
Jericho,2014,tm_checklist_voters,3838
Jericho,2014,highest_flr_vote_count,200
Jericho,2014,Floor Vote Turnout (%),0.052
Jericho,2014,ab_towns_num_voted,891
Jericho,2014,Australian ballot Turnout (%),0.232
Jericho,2014,ab_towns_absentee_votes,104
Jericho,2014,Absentee ballot Turnout (%),0.117
Johnson,2014,tm_checklist_voters,1974
Johnson,2014,highest_flr_vote_count,95
