CITY/TOWN          , "AUSTRALIAN
                     BALLOT used to
                     vote for Town
                     Officers"     , "AUSTRALIAN
                                     BALLOT used to
                                     vote for Town
                                     Budget"       , "AUSTRALIAN
                                                     BALLOT used to
                                                     vote for Town
                                                     Public Questions", "AUSTRALIAN BALLOT voting
                                                                        adopted by TOWN for budget,
                                                                        officers, or public questions
                                                                        at 2025 Town Meeting"              , "AUSTRALIAN BALLOT used for
Milton             , Yes           , Yes           , Yes              , No.                                , Yes                        , No             , Yes              , Yes              , Yes                  , No.
Monkton            , Yes           , No            , Yes              , NO                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , "We always vote Australian ballet
                                                                                                                                                                                                                        for School budgets ect..."
Montgomery         , No            , No            , No               , NO                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
Montpelier         , Yes           , Yes           , Yes              , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
Moretown           , Yes           , Yes           , Yes              , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
Morgan             , No            , No            , No               , NO                                 , No                         , Yes            , No               , No               , No                   , NO
Morristown         , Yes           , Yes           , Yes              , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , "no  We had a special meeting in
                                                                                                                                                                                                                        December 2024"
Mount Holly        , Yes           , Yes           , No               , NO                                 , Partially                  , Yes            , No               , Yes              , No                   , NO CHANGES
Mount Tabor        , Yes           , No            , No               , No                                 , Partially                  , Yes            , Yes              , Yes              , No                   , No
New Haven          , Yes           , Yes           , Yes              , no                                 , Partially                  , Yes            , No               , Yes              , No                   , N/A
Newark             , No            , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Newbury            , Yes           , No            , Yes              , No                                 , No                         , Yes            , No               , No               , No                   , No
Newfane            , Yes           , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
Newport City       , Yes           , Yes           , Yes              , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
Newport Town       , No            , No            , No               , no                                 , Partially                  , Yes            , No               , Yes              , Yes                  , no
North Hero         , Yes           , Yes           , Yes              , N/A                                , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Northfield         , Yes           , No            , Yes              , "YES  BUDGET AND ALL
                                                                        PUBLIC QUESTIONS"                  , Yes                        , Yes            , Yes              , Yes              , Yes                  , NA
Norton             , No            , No            , No               , No                                 , No                         , No             , No               , No               , No                   , n/a
Norwich            , Yes           , Yes           , Yes              , n/a                                , Yes                        , Yes            , Yes              , Yes              , Yes                  , n/a
Orange             , No            , No            , No               , No                                 , Partially                  , No             , Yes              , No               , No                   , No
Orwell             , Yes           , No            , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Panton             , Yes           , Yes           , Yes              , n/a                                , Yes                        , Yes            , Yes              , Yes              , Yes                  , n/a
Pawlet             , Yes           , Yes           , Yes              , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , n/a
Peacham            , No            , No            , No               , No                                 , No                         , No             , No               , No               , No                   , No
Peru               , No            , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Pittsfield         , No            , No            , No               , no                                 , No                         , Yes            , No               , No               , No                   , no
Pittsford          , N/A           , N/A           , N/A              , N/A                                , N/A                        , N/A            , N/A              , N/A              , N/A                  , N/A
